method,phase,run,time_sec
pl_direct_con,closed,27,3.3834109579984215
pl_direct_con,closed,28,3.078577416999906
pl_direct_con,closed,29,3.480658417000086
pl_direct_con,closed,30,3.366864165996958
pl_direct_cursor,closed,1,3.267971833003685
pl_direct_cursor,closed,2,3.020589125000697
pl_direct_cursor,closed,3,3.24616637500003
pl_direct_cursor,closed,4,3.8402907909985515
pl_direct_cursor,closed,5,3.5318576249992475
pl_direct_cursor,closed,6,3.5068852919939673
pl_direct_cursor,closed,7,3.1951055840036133
pl_direct_cursor,closed,8,3.4329779999970924
pl_direct_cursor,closed,9,3.2168254159987555
pl_direct_cursor,closed,10,3.6827832919952925
pl_direct_cursor,closed,11,3.5321878329996252
pl_direct_cursor,closed,12,3.2733745420046034
pl_direct_cursor,closed,13,3.218861958004709
pl_direct_cursor,closed,14,3.2165294579972397
pl_direct_cursor,closed,15,3.836968291005178
pl_direct_cursor,closed,16,3.5255330830041203
pl_direct_cursor,closed,17,3.123094292001042
pl_direct_cursor,closed,18,3.6646240830013994
pl_direct_cursor,closed,19,3.2218202920048498
pl_direct_cursor,closed,20,3.821087249998527
pl_direct_cursor,closed,21,3.681680542002141
pl_direct_cursor,closed,22,3.443477000000712
pl_direct_cursor,closed,23,3.6967561669953284
pl_direct_cursor,closed,24,3.866795124995406
pl_direct_cursor,closed,25,3.317410458002996
pl_direct_cursor,closed,26,3.2485314999939874
pl_direct_cursor,closed,27,3.556575624999823
pl_direct_cursor,closed,28,3.4605756669989205
pl_direct_cursor,closed,29,3.423077874998853
pl_direct_cursor,closed,30,3.182686666994414
pl_direct_con,not_closed,1,4.192586874996778
pl_direct_con,not_closed,2,3.733562790999713
pl_direct_con,not_closed,3,3.2831692500039935
pl_direct_con,not_closed,4,3.1450614999994286
pl_direct_con,not_closed,5,3.4797627500011004
pl_direct_con,not_closed,6,3.7973293749964796
pl_direct_con,not_closed,7,3.1951157079965924
pl_direct_con,not_closed,8,3.4772554590017535
pl_direct_con,not_closed,9,3.208965208999871
pl_direct_con,not_closed,10,3.415963791994727
pl_direct_con,not_closed,11,3.5443279999963124
pl_direct_con,not_closed,12,3.2650093749980442
pl_direct_con,not_closed,13,3.447094666000339
pl_direct_con,not_closed,14,3.470853457998601
pl_direct_con,not_closed,15,3.191099290997954
pl_direct_con,not_closed,16,3.3824817080021603
pl_direct_con,not_closed,17,3.802155915996991
pl_direct_con,not_closed,18,3.3154982089981786
pl_direct_con,not_closed,19,3.2887612499980605
pl_direct_con,not_closed,20,3.251835208000557
pl_direct_con,not_closed,21,3.5397122080030385
pl_direct_con,not_closed,22,3.644337292003911
pl_direct_con,not_closed,23,3.3438025420036865
pl_direct_con,not_closed,24,3.581744874994911
pl_direct_con,not_closed,25,3.26474595900072
pl_direct_con,not_closed,26,3.4724911670055008
pl_direct_con,not_closed,27,3.2985530000005383
pl_direct_con,not_closed,28,3.38987150000321
pl_direct_con,not_closed,29,3.448856083996361
pl_direct_con,not_closed,30,3.479240624998056
pl_direct_cursor,not_closed,1,3.207912457997736
pl_direct_cursor,not_closed,2,3.3010416670003906
pl_direct_cursor,not_closed,3,3.553483834002691
pl_direct_cursor,not_closed,4,3.013089874999423
pl_direct_cursor,not_closed,5,3.4320061250036815
pl_direct_cursor,not_closed,6,3.434161542005313
pl_direct_cursor,not_closed,7,3.25546949999989
pl_direct_cursor,not_closed,8,3.5817185419946327
pl_direct_cursor,not_closed,9,3.2557594579993747
pl_direct_cursor,not_closed,10,3.278764458002115
pl_direct_cursor,not_closed,11,3.6430782919997
pl_direct_cursor,not_closed,12,3.3473782500004745
pl_direct_cursor,not_closed,13,3.1351489999942714
pl_direct_cursor,not_closed,14,3.464024334003625
pl_direct_cursor,not_closed,15,3.365553584000736
pl_direct_cursor,not_closed,16,3.5140759159985464
pl_direct_cursor,not_closed,17,3.314984167001967
pl_direct_cursor,not_closed,18,3.1377912499956437
pl_direct_cursor,not_closed,19,3.219426375006151
pl_direct_cursor,not_closed,20,3.358383375001722
pl_direct_cursor,not_closed,21,3.438738625001861
pl_direct_cursor,not_closed,22,3.60320316599973
pl_direct_cursor,not_closed,23,3.2689320829958888
pl_direct_cursor,not_closed,24,3.5394995840033516
pl_direct_cursor,not_closed,25,3.3197481250026613
pl_direct_cursor,not_closed,26,3.2858694169990486
pl_direct_cursor,not_closed,27,3.0543082500007586
pl_direct_cursor,not_closed,28,3.324620833998779
pl_direct_cursor,not_closed,29,3.231862374996126
pl_direct_cursor,not_closed,30,3.273808084006305
